Model,Perturbation_Type,Level,PR-AUC,Macro-F1,Recall,FNR
xgb_struct,Missing Sensors,25%,0.26827178998876544,0.6018015463373284,0.20600558659217877,0.7939944134078212
lr_tfidf,Missing Sensors,25%,0.0893619697324242,0.483179853411013,0.0,1.0
lr_minilm,Missing Sensors,25%,0.08891601348180188,0.483179853411013,0.0,1.0
fusion_tfidf,Missing Sensors,25%,0.2658438528614176,0.6113855615253878,0.2346368715083799,0.7653631284916201
fusion_minilm,Missing Sensors,25%,0.27688176493614375,0.6140388495238838,0.22695530726256982,0.7730446927374302
lr_struct,Missing Sensors,40%,0.1993905385724456,0.6124866711386427,0.25837988826815644,0.7416201117318435
rf_struct,Missing Sensors,40%,0.2821104564833865,0.612816470938317,0.23044692737430167,0.7695530726256983
xgb_struct,Missing Sensors,40%,0.23509346199528916,0.5842633107077481,0.1627094972067039,0.8372905027932961
lr_tfidf,Missing Sensors,40%,0.0893619697324242,0.483179853411013,0.0,1.0
lr_minilm,Missing Sensors,40%,0.08891601348180188,0.483179853411013,0.0,1.0
fusion_tfidf,Missing Sensors,40%,0.23379674027847175,0.5872325333391435,0.17458100558659218,0.8254189944134078
fusion_minilm,Missing Sensors,40%,0.23891867064648903,0.5847494091055893,0.16201117318435754,0.8379888268156425
lr_struct,Missing Reports,0%,0.302715343526944,0.6595255348933972,0.43575418994413406,0.5642458100558659
rf_struct,Missing Reports,0%,0.3980773054818824,0.6633984332541432,0.41480446927374304,0.585195530726257
xgb_struct,Missing Reports,0%,0.3292155674059234,0.6381890240967815,0.32192737430167595,0.678072625698324
lr_tfidf,Missing Reports,0%,0.0893619697324242,0.483179853411013,0.0,1.0
lr_minilm,Missing Reports,0%,0.08891601348180188,0.483179853411013,0.0,1.0
fusion_tfidf,Missing Reports,0%,0.32440651313348423,0.6441067222239808,0.3477653631284916,0.6522346368715084
fusion_minilm,Missing Reports,0%,0.33143991606226325,0.6435488638790277,0.3414804469273743,0.6585195530726258
lr_struct,Missing Reports,25%,0.302715343526944,0.6595255348933972,0.43575418994413406,0.5642458100558659
rf_struct,Missing Reports,25%,0.3980773054818824,0.6633984332541432,0.41480446927374304,0.585195530726257
xgb_struct,Missing Reports,25%,0.3292155674059234,0.6381890240967815,0.32192737430167595,0.678072625698324
lr_tfidf,Missing Reports,25%,0.0888237068071104,0.483179853411013,0.0,1.0
lr_minilm,Missing Reports,25%,0.08971148121345829,0.483179853411013,0.0,1.0
fusion_tfidf,Missing Reports,25%,0.3244870153760183,0.6447044168223793,0.3498603351955307,0.6501396648044693
fusion_minilm,Missing Reports,25%,0.33078079303577557,0.6443270457975292,0.34497206703910616,0.6550279329608939
lr_struct,Missing Reports,50%,0.302715343526944,0.6595255348933972,0.43575418994413406,0.5642458100558659
rf_struct,Missing Reports,50%,0.3980773054818824,0.6633984332541432,0.41480446927374304,0.585195530726257
xgb_struct,Missing Reports,50%,0.3292155674059234,0.6381890240967815,0.32192737430167595,0.678072625698324
lr_tfidf,Missing Reports,50%,0.0840473526534997,0.483179853411013,0.0,1.0
lr_minilm,Missing Reports,50%,0.08192830487527504,0.483179853411013,0.0,1.0
fusion_tfidf,Missing Reports,50%,0.32395982159371006,0.6446611142042087,0.3512569832402235,0.6487430167597765
fusion_minilm,Missing Reports,50%,0.3304618351055471,0.64727388935069,0.3526536312849162,0.6473463687150838
lr_struct,Missing Reports,75%,0.302715343526944,0.6595255348933972,0.43575418994413406,0.5642458100558659
rf_struct,Missing Reports,75%,0.3980773054818824,0.6633984332541432,0.41480446927374304,0.585195530726257
xgb_struct,Missing Reports,75%,0.3292155674059234,0.6381890240967815,0.32192737430167595,0.678072625698324
lr_tfidf,Missing Reports,75%,0.07464923540860839,0.483179853411013,0.0,1.0
lr_minilm,Missing Reports,75%,0.07204502931991161,0.483179853411013,0.0,1.0
fusion_tfidf,Missing Reports,75%,0.3237308758838266,0.6446739585532211,0.35195530726256985,0.6480446927374302
fusion_minilm,Missing Reports,75%,0.3287921848526438,0.6473727165281296,0.3547486033519553,0.6452513966480447
lr_struct,Report Ambiguity,0%,0.302715343526944,0.6595255348933972,0.43575418994413406,0.5642458100558659
rf_struct,Report Ambiguity,0%,0.3980773054818824,0.6633984332541432,0.41480446927374304,0.585195530726257
xgb_struct,Report Ambiguity,0%,0.3292155674059234,0.6381890240967815,0.32192737430167595,0.678072625698324
lr_tfidf,Report Ambiguity,0%,0.0893619697324242,0.483179853411013,0.0,1.0
lr_minilm,Report Ambiguity,0%,0.08891601348180188,0.483179853411013,0.0,1.0
fusion_tfidf,Report Ambiguity,0%,0.32440651313348423,0.6441067222239808,0.3477653631284916,0.6522346368715084
fusion_minilm,Report Ambiguity,0%,0.33143991606226325,0.6435488638790277,0.3414804469273743,0.6585195530726258
lr_struct,Report Ambiguity,25%,0.302715343526944,0.6595255348933972,0.43575418994413406,0.5642458100558659
rf_struct,Report Ambiguity,25%,0.3980773054818824,0.6633984332541432,0.41480446927374304,0.585195530726257
xgb_struct,Report Ambiguity,25%,0.3292155674059234,0.6381890240967815,0.32192737430167595,0.678072625698324
lr_tfidf,Report Ambiguity,25%,0.08379872792377636,0.483179853411013,0.0,1.0
lr_minilm,Report Ambiguity,25%,0.08218661754065047,0.483179853411013,0.0,1.0
fusion_tfidf,Report Ambiguity,25%,0.32459316994048565,0.6441067222239808,0.3477653631284916,0.6522346368715084
fusion_minilm,Report Ambiguity,25%,0.3321112930059393,0.6461840383860252,0.3463687150837989,0.6536312849162011
lr_struct,Report Ambiguity,50%,0.302715343526944,0.6595255348933972,0.43575418994413406,0.5642458100558659
rf_struct,Report Ambiguity,50%,0.3980773054818824,0.6633984332541432,0.41480446927374304,0.585195530726257
xgb_struct,Report Ambiguity,50%,0.3292155674059234,0.6381890240967815,0.32192737430167595,0.678072625698324
lr_tfidf,Report Ambiguity,50%,0.07832940758720443,0.483179853411013,0.0,1.0
lr_minilm,Report Ambiguity,50%,0.07629034141894052,0.483179853411013,0.0,1.0
fusion_tfidf,Report Ambiguity,50%,0.32463966348871015,0.6450904616834479,0.35195530726256985,0.6480446927374302
fusion_minilm,Report Ambiguity,50%,0.32932849674226444,0.6431996256862985,0.3414804469273743,0.6585195530726258
lr_struct,Report Ambiguity,75%,0.302715343526944,0.6595255348933972,0.43575418994413406,0.5642458100558659
rf_struct,Report Ambiguity,75%,0.3980773054818824,0.6633984332541432,0.41480446927374304,0.585195530726257
xgb_struct,Report Ambiguity,75%,0.3292155674059234,0.6381890240967815,0.32192737430167595,0.678072625698324
lr_tfidf,Report Ambiguity,75%,0.06953550483361819,0.483179853411013,0.0,1.0
lr_minilm,Report Ambiguity,75%,0.07226654580831374,0.483179853411013,0.0,1.0
fusion_tfidf,Report Ambiguity,75%,0.3237552317403029,0.6468902057925582,0.35544692737430167,0.6445530726256983
fusion_minilm,Report Ambiguity,75%,0.3293470582016425,0.6448170855765787,0.348463687150838,0.651536312849162
